phone_number,account_age_days,is_verified_customer,total_orders,total_returns,return_rate,refund_requests,high_value_orders,avg_order_value,order_cancellations,purchase_frequency_per_month,devices_sold_on_platform,device_condition_mismatch,fake_invoice_flag,imei_mismatch_attempts,wrong_item_returned_count,device_value_mismatch_score,multiple_addresses_flag,multiple_accounts_linked,shared_phone_number_flag,previous_blacklist_flag,ip_reputation_score,payment_failures,chargeback_count,cod_orders,prepaid_orders,fraud_attempts,return_fraud_suspected,suspicious_activity_score,dispute_tickets_raised,liability_score,risk_category
9326403309,237,1,28,1,0.036,1,7,6641,0,3.544,7,0,0,0,0,0.044,0,0,0,0,1.0,2,1,5,23,2,1,0.0,3,71,low_risk
6178199314,1034,1,21,0,0.0,0,8,14432,0,0.609,3,2,0,1,0,0.369,0,0,0,0,0.88,2,0,1,20,0,0,0.0,0,84,low_risk
8441255009,414,1,10,1,0.1,1,2,10678,0,0.725,2,1,0,0,0,0.117,0,0,0,0,0.764,1,0,3,7,1,1,0.135,0,49,medium_risk
6118452614,350,1,6,0,0.0,0,2,11100,1,0.514,1,4,0,0,0,0.282,0,0,0,0,0.874,0,0,3,3,0,0,0.0,0,46,medium_risk
8371011700,30,1,3,0,0.0,0,1,5003,1,3.0,0,0,0,0,0,0.093,0,0,0,0,0.893,0,0,1,2,0,0,0.0,0,70,medium_risk
7024779446,592,1,27,1,0.037,1,10,17627,2,1.368,3,1,0,0,0,0.066,0,0,0,0,0.895,3,0,4,23,1,1,0.162,0,74,low_risk
6007734651,642,1,4,1,0.25,1,2,2571,1,0.187,1,1,0,0,1,0.333,0,0,0,0,0.595,0,0,1,3,0,0,0.085,0,60,medium_risk
6613340275,571,1,27,2,0.074,2,11,6619,0,1.419,4,0,0,1,0,0.135,0,0,0,0,0.908,2,0,4,23,2,1,0.15,0,82,low_risk
8152661327,558,1,21,0,0.0,0,10,9550,1,1.129,4,1,0,1,0,0.066,0,0,0,0,0.796,1,1,2,19,0,0,0.084,1,79,low_risk
9335551761,392,0,7,0,0.0,0,1,4328,2,0.536,2,0,0,0,0,0.44,0,0,0,0,0.747,1,1,1,6,0,0,0.09,0,60,medium_risk
9096582844,1496,1,27,1,0.037,0,11,5886,1,0.541,4,1,0,0,0,0.382,0,0,0,0,0.847,1,0,3,24,0,0,0.105,1,90,low_risk
7239549760,859,1,26,0,0.0,0,12,8993,0,0.908,1,0,0,1,0,0.199,0,0,0,0,0.671,6,1,2,24,0,0,0.057,0,91,low_risk
7498233387,1044,1,12,3,0.25,1,4,8484,2,0.345,1,0,0,0,0,0.292,0,0,0,0,0.839,2,0,2,10,1,1,0.004,0,81,low_risk
6324141916,976,1,27,0,0.0,0,8,13840,2,0.83,1,0,0,0,0,0.393,0,0,0,0,1.0,2,0,6,21,2,1,0.0,1,86,low_risk
7358920222,85,1,17,1,0.059,1,10,13103,1,6.0,3,1,0,0,0,0.122,0,0,0,0,0.938,2,0,2,15,2,1,0.0,1,75,low_risk
9247295030,30,0,4,1,0.25,0,1,1214,2,4.0,3,3,0,0,0,0.311,1,0,0,0,0.4,0,0,3,1,0,0,0.602,0,3,high_risk
7248827183,1372,1,24,0,0.0,0,7,10418,0,0.525,2,0,0,1,0,0.19,0,0,0,0,1.0,5,0,2,22,0,0,0.0,0,93,low_risk
8146586576,712,1,16,0,0.0,0,9,16758,1,0.674,4,0,0,0,0,0.119,0,0,0,0,0.823,2,0,6,10,1,1,0.0,0,80,low_risk
8759437883,130,0,1,0,0.0,0,0,3299,1,0.231,2,4,1,0,0,0.831,0,0,0,0,0.423,0,0,1,0,0,0,0.465,0,0,high_risk
6816337244,331,1,15,3,0.2,2,4,6489,0,1.36,2,0,1,1,0,0.235,0,0,0,0,0.746,3,0,4,11,1,1,0.08,0,46,medium_risk
8382989044,372,1,19,3,0.158,1,3,9422,1,1.532,3,2,0,1,0,0.312,0,0,0,0,0.651,1,0,5,14,0,0,0.0,0,52,medium_risk
8876061828,30,1,1,0,0.0,0,0,7557,0,1.0,0,3,0,1,0,0.316,0,0,0,0,0.924,0,0,0,1,0,0,0.081,0,61,medium_risk
9434177776,1559,1,29,2,0.069,1,10,9811,0,0.558,4,1,0,1,0,0.042,0,0,0,0,0.897,1,2,1,28,0,0,0.085,0,79,low_risk
6175412334,258,0,6,0,0.0,0,0,3990,2,0.698,0,2,0,0,0,0.431,0,0,0,0,0.611,2,1,1,5,0,0,0.468,0,0,high_risk
7888438764,1340,1,12,1,0.083,1,2,11954,0,0.269,8,0,0,2,0,0.18,0,0,0,0,0.794,0,0,1,11,1,1,0.05,0,78,low_risk
9415198629,193,1,2,1,0.5,0,0,2599,1,0.311,1,3,0,0,0,0.591,0,1,0,0,0.539,0,0,1,1,0,0,0.319,0,0,high_risk
